[2025-05-18 05:56:05] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 05:56:57] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-18 05:56:57] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-18 05:57:19] User: a | Event: Event | Description: LOGIN
[2025-05-18 05:57:19] User: a | Event: Event | Description: TokenService
[2025-05-18 05:57:19] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 06:02:36] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-18 06:02:36] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-18 06:02:39] User: a | Event: Event | Description: LOGIN
[2025-05-18 06:02:40] User: a | Event: Event | Description: TokenService
[2025-05-18 06:02:40] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 06:07:34] User: a | Event: Event | Description: LOGIN
[2025-05-18 06:07:34] User: a | Event: Event | Description: TokenService
[2025-05-18 06:07:34] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 06:10:13] User: a | Event: Event | Description: LOGIN
[2025-05-18 06:10:14] User: a | Event: Event | Description: TokenService
[2025-05-18 06:10:14] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 06:10:41] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-18 06:10:41] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-18 06:10:56] User: a | Event: Event | Description: LOGIN
[2025-05-18 06:10:56] User: a | Event: Event | Description: TokenService
[2025-05-18 06:10:56] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 06:14:49] User: a | Event: Event | Description: LOGIN
[2025-05-18 06:14:49] User: a | Event: Event | Description: TokenService
[2025-05-18 06:14:49] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 06:14:56] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-18 06:14:56] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-18 06:18:12] User: a | Event: Event | Description: SIGNUP_FAILED - USER_EXIST
[2025-05-18 06:18:12] User: a | Event: Event | Description: SIGNUP_FAILED
[2025-05-18 06:18:28] User: a | Event: Event | Description: LOGIN
[2025-05-18 06:18:28] User: a | Event: Event | Description: TokenService
[2025-05-18 06:18:28] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-18 06:21:07] User: a | Event: Event | Description: LOGIN
[2025-05-18 06:21:07] User: a | Event: Event | Description: TokenService
[2025-05-18 06:21:07] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-19 00:32:56] User: a | Event: Event | Description: LOGIN
[2025-05-19 00:32:56] User: a | Event: Event | Description: TokenService
[2025-05-19 00:32:56] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-19 00:34:53] User: a | Event: Event | Description: LOGIN
[2025-05-19 00:34:53] User: a | Event: Event | Description: TokenService
[2025-05-19 00:34:53] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-19 00:36:08] User: a | Event: Event | Description: LOGIN
[2025-05-19 00:36:08] User: a | Event: Event | Description: TokenService
[2025-05-19 00:36:08] User: a | Event: Event | Description: LOGIN_SUCCESS
[2025-05-19 00:42:13] User: a | Event: Event | Description: LOGIN
